certificate,runtime,genre,imdb_rating,meta_score,no_of_votes,gross,director_category,star1_category,star2_category,star3_category,star4_category,decade
all public,153,Action/Adventure,8.3,69.0,1267869,120540719.0,high,high,low,low,low,2000's
family,108,Drama,8.3,89.0,911664,34400301.0,low,average,high,low,low,2000's
all public,122,Comedy,8.3,69.0,703810,33225499.0,average,average,low,low,low,2000's
family,104,Comedy,8.3,55.0,782001,30328156.0,average,low,high,average,low,2000's
all public,102,Drama,8.3,68.0,766870,3635482.0,average,average,low,high,low,2000's
family,122,Drama,8.3,84.0,1069738,130096601.0,high,average,low,low,low,1990's
all public,126,Drama,8.3,70.0,861606,138433435.0,low,average,high,low,average,1990's
family,89,Drama,8.3,77.0,65341,933933.0,low,low,low,low,low,1990's
all public,81,Other,8.3,95.0,887429,191796233.0,average,high,average,average,low,1990's
all public,178,Drama,8.3,68.0,959181,75600000.0,average,average,low,low,low,1990's
over 18,99,Thriller/Crime/Mystery,8.3,79.0,918562,2832029.0,high,low,low,average,low,1990's
family,116,Drama,8.3,76.0,675146,46357676.0,high,low,low,low,low,1980's
all public,137,Action/Adventure,8.3,84.0,652719,85160248.0,high,average,low,low,average,1980's
over 18,160,Drama,8.3,88.0,369007,51973029.0,average,low,low,low,low,1980's
all public,170,Thriller/Crime/Mystery,8.3,65.0,740911,45598982.0,average,high,average,low,low,1980's
all public,131,Action/Adventure,8.3,58.0,950470,309125409.0,low,average,average,high,average,1980's
over 18,149,Action/Adventure,8.3,86.0,231855,11487676.0,low,low,low,low,low,1980's
all public,114,Thriller/Crime/Mystery,8.3,94.0,724636,28262574.0,high,high,low,average,average,1970's
all public,129,Comedy,8.3,83.0,241513,159600000.0,average,high,average,average,low,1970's
all public,136,Thriller/Crime/Mystery,8.3,77.0,757904,6207725.0,high,low,low,low,low,1970's
all public,149,Action/Adventure,8.3,84.0,603517,56954992.0,high,low,low,low,low,1960's
all public,132,Other,8.3,74.0,232772,15000000.0,high,high,low,low,low,1960's
all public,228,Action/Adventure,8.3,100.0,268085,44824144.0,average,low,average,low,low,1960's
all public,125,Comedy,8.3,94.0,164363,18600000.0,high,average,average,low,low,1960's
all public,136,Action/Adventure,8.3,98.0,299198,13275000.0,high,average,low,low,low,1950's
all public,128,Thriller/Crime/Mystery,8.3,100.0,364368,3200000.0,high,average,low,low,low,1950's
all public,103,Comedy,8.3,99.0,218957,8819028.0,average,low,low,low,low,1950's
family,107,Thriller/Crime/Mystery,8.3,95.0,143525,5720000.0,high,low,low,low,low,1940's
family,119,Drama,8.3,100.0,403351,1585634.0,average,average,average,low,low,1940's
family,130,Drama,8.2,69.0,377884,85080171.0,low,average,low,low,low,2010's
all public,115,Comedy,8.2,88.0,432610,54513740.0,average,low,low,low,low,2010's
over 18,129,Drama,8.2,80.0,193217,6391436.0,low,average,low,low,low,2000's
family,140,Action/Adventure,8.2,71.0,435950,13657115.0,low,average,low,low,low,2010's
all public,138,Thriller/Crime/Mystery,8.2,63.0,1129894,128012934.0,high,high,low,average,low,2010's
all public,96,Other,8.2,88.0,935507,293004164.0,average,low,low,low,low,2000's
all public,180,Drama,8.2,75.0,1187498,116900694.0,high,high,low,average,low,2010's
all public,153,Drama,8.2,68.0,74129,1113541.0,low,average,low,low,low,2000's
all public,158,Drama,8.2,93.0,517359,40222514.0,average,high,low,average,low,2000's
family,118,Drama,8.2,98.0,618623,37634615.0,low,low,low,low,low,2000's
all public,103,Other,8.2,92.0,757032,415004880.0,average,high,average,low,low,2010's
all public,132,Action/Adventure,8.2,62.0,1032749,70511035.0,low,low,low,low,low,2000's
family,140,Action/Adventure,8.2,70.0,1308302,206852432.0,high,high,low,low,low,2000's
over 18,156,Drama,8.2,82.0,331308,5509040.0,average,average,low,low,low,2000's
all public,119,Other,8.2,80.0,333915,4711096.0,high,low,low,low,low,2000's
family,135,Drama,8.2,72.0,848920,170742341.0,high,high,high,high,average,2000's
all public,107,Action/Adventure,8.2,66.0,535216,3897569.0,average,low,low,low,low,1990's
all public,138,Thriller/Crime/Mystery,8.2,90.0,531967,64616940.0,low,average,average,low,low,1990's
all public,170,Thriller/Crime/Mystery,8.2,76.0,577113,67436818.0,average,high,average,average,low,1990's
all public,178,Thriller/Crime/Mystery,8.2,73.0,466276,42438300.0,high,high,low,high,low,1990's
all public,130,Drama,8.2,85.0,375935,101157447.0,high,high,low,average,low,1990's
all public,127,Action/Adventure,8.2,65.0,692366,197171806.0,high,high,average,low,low,1980's
all public,86,Other,8.2,86.0,291180,1105564.0,high,low,low,low,low,1980's
all public,132,Action/Adventure,8.2,72.0,793164,83008852.0,average,high,low,low,low,1980's
all public,162,Action/Adventure,8.2,96.0,112505,4135750.0,average,low,low,low,low,1980's
all public,129,Drama,8.2,89.0,321860,23383987.0,high,high,low,high,low,1980's
family,91,Action/Adventure,8.2,91.0,500875,1229197.0,high,low,low,low,low,1970's
all public,172,Action/Adventure,8.2,86.0,224730,12100000.0,average,average,average,low,low,1960's
