certificate,runtime,genre,imdb_rating,meta_score,no_of_votes,gross,director_category,star1_category,star2_category,star3_category,star4_category,decade
over 18,114,Thriller/Crime/Mystery,7.9,82.0,205609,2122065.0,low,low,low,low,low,2000's
all public,112,Action/Adventure,7.9,81.0,638202,115646235.0,low,low,low,low,low,2000's
family,109,Drama,7.9,80.0,289415,26236603.0,average,low,average,low,low,2000's
all public,165,Drama,7.9,100.0,335533,25379975.0,high,low,average,average,low,2010's
family,127,Action/Adventure,7.9,82.0,577336,257730019.0,average,average,average,low,low,2000's
over 18,107,Comedy,7.9,67.0,390334,7757130.0,average,low,average,average,low,2000's
family,141,Action/Adventure,7.9,89.0,154011,13756082.0,high,low,low,low,low,2000's
over 18,117,Action/Adventure,7.9,64.0,107290,2280348.0,low,low,low,low,low,2000's
all public,127,Action/Adventure,7.9,79.0,580708,124987023.0,high,low,low,low,low,2010's
family,87,Other,7.9,83.0,199696,21002919.0,high,average,high,low,low,2000's
family,97,Drama,7.9,56.0,57430,3635164.0,low,low,low,low,low,2000's
family,126,Action/Adventure,7.9,79.0,939644,318412101.0,low,average,average,low,low,2000's
family,99,Comedy,7.9,76.0,512249,13542874.0,average,average,average,low,low,2000's
all public,138,Thriller/Crime/Mystery,7.9,84.0,419420,90135191.0,high,average,low,average,low,2000's
all public,142,Action/Adventure,7.9,82.0,552493,249358727.0,high,high,high,high,low,2000's
family,120,Action/Adventure,7.9,85.0,173999,53710019.0,low,average,low,low,low,2000's
over 18,112,Drama,7.9,86.0,104691,9284265.0,average,low,low,low,low,2000's
over 18,98,Comedy,7.9,84.0,44618,1059830.0,low,low,low,low,low,2000's
all public,115,Other,7.9,61.0,42897,1000045.0,low,low,low,low,low,2000's
family,119,Action/Adventure,7.9,68.0,508771,121661683.0,average,average,high,average,average,2000's
over 18,114,Thriller/Crime/Mystery,7.9,80.0,49721,1221261.0,low,average,low,low,low,2000's
all public,109,Action/Adventure,7.9,84.0,465113,35552383.0,high,low,average,average,high,2000's
all public,122,Action/Adventure,7.9,90.0,252586,32534850.0,low,low,low,low,low,2000's
over 18,147,Drama,7.9,85.0,322031,7220243.0,high,average,low,low,low,2000's
all public,92,Other,7.9,88.0,527512,245852179.0,average,low,average,low,low,1990's
over 18,155,Drama,7.9,85.0,239473,26400640.0,average,average,average,low,low,1990's
all public,102,Thriller/Crime/Mystery,7.9,77.0,31590,2201126.0,low,low,low,low,low,1990's
over 18,119,Thriller/Crime/Mystery,7.9,59.0,206918,12281500.0,average,low,average,average,low,1990's
all public,94,Drama,7.9,85.0,89836,1324974.0,high,low,low,low,low,1990's
all public,144,Thriller/Crime/Mystery,7.9,65.0,201000,36948322.0,average,high,average,low,low,1990's
all public,105,Drama,7.9,74.0,447368,56362352.0,average,high,low,low,low,1990's
all public,103,Drama,7.9,97.0,68076,14743391.0,average,high,low,low,low,1980's
family,104,Comedy,7.9,77.0,54670,18254702.0,high,low,low,low,low,1980's
all public,119,Thriller/Crime/Mystery,7.9,79.0,281842,76270454.0,average,average,average,average,low,1980's
family,107,Comedy,7.9,90.0,67176,40084041.0,high,average,low,low,low,1980's
all public,132,Drama,7.9,84.0,187567,9929135.0,high,low,low,average,low,1980's
over 18,82,Comedy,7.9,92.0,128812,188751.0,high,low,low,low,low,1980's
all public,93,Comedy,7.9,77.0,132947,20605209.0,low,low,low,low,low,1980's
all public,133,Action/Adventure,7.9,60.0,183182,57229890.0,low,low,average,low,low,1980's
over 18,96,Comedy,7.9,83.0,131436,45700000.0,high,average,average,low,low,1970's
all public,123,Drama,7.9,72.0,28223,37823676.0,average,average,low,low,low,1970's
all public,127,Action/Adventure,7.9,71.0,111512,5100000.0,low,low,low,low,low,1970's
all public,138,Drama,7.9,84.0,103031,70600000.0,low,high,average,average,low,1970's
over 18,114,Action/Adventure,7.9,76.0,37183,61001.0,low,low,low,low,low,1970's
family,102,Comedy,7.9,93.0,38737,198809.0,low,low,low,low,low,1970's
all public,172,Drama,7.9,91.0,93741,61700000.0,average,low,average,low,low,1970's
all public,145,Action/Adventure,7.9,97.0,77401,12064472.0,low,average,low,low,low,1960's
all public,110,Thriller/Crime/Mystery,7.9,75.0,67804,24379978.0,average,low,low,low,low,1960's
all public,113,Comedy,7.9,83.0,68689,13474588.0,average,average,low,low,low,1960's
all public,197,Action/Adventure,7.9,87.0,124339,30000000.0,high,average,low,low,low,1960's
family,85,Drama,7.9,89.0,97222,9450000.0,high,low,average,low,low,1950's
all public,101,Thriller/Crime/Mystery,7.9,88.0,123341,7630000.0,high,low,low,low,low,1950's
all public,102,Drama,7.9,100.0,92306,10464000.0,high,average,average,average,low,1940's
family,102,Action/Adventure,7.9,97.0,47175,3981000.0,average,low,low,low,low,1930's
family,100,Action/Adventure,7.9,90.0,78991,10000000.0,low,low,low,low,low,1930's
family,124,Drama,7.8,85.0,51240,2402067.0,high,low,low,low,low,2010's
family,106,Action/Adventure,7.8,94.0,555092,188373161.0,high,low,low,low,low,2010's
family,127,Drama,7.8,74.0,200876,169607287.0,low,low,low,low,low,2010's
all public,103,Action/Adventure,7.8,88.0,61594,40442052.0,low,low,low,low,low,2010's
family,101,Other,7.8,84.0,118035,48023088.0,low,low,low,average,low,2010's
family,137,Drama,7.8,96.0,246963,47695120.0,low,low,low,low,low,2010's
over 18,100,Drama,7.8,75.0,35539,435266.0,low,low,low,low,low,2010's
family,133,Action/Adventure,7.8,65.0,556608,532177324.0,low,low,low,low,low,2010's
family,147,Action/Adventure,7.8,75.0,663649,408084349.0,high,high,high,low,average,2010's
all public,168,Thriller/Crime/Mystery,7.8,68.0,517059,54117416.0,high,low,average,low,low,2010's
all public,135,Drama,7.8,91.0,143250,108101214.0,low,low,high,low,low,2010's
family,94,Other,7.8,62.0,50778,6735118.0,low,low,low,low,low,2010's
family,130,Drama,7.8,85.0,45002,1330596.0,high,low,low,low,low,2010's
all public,104,Drama,7.8,76.0,50523,4231500.0,low,low,low,low,low,2010's
all public,102,Other,7.8,74.0,410983,222527828.0,low,low,low,low,low,2010's
over 18,123,Comedy,7.8,55.0,303032,15322921.0,low,low,average,low,low,2010's
family,126,Other,7.8,83.0,73690,5209580.0,high,low,low,low,low,2010's
all public,100,Other,7.8,84.0,203177,434038008.0,low,high,average,low,low,2010's
over 18,131,Thriller/Crime/Mystery,7.8,49.0,108399,85433.0,average,average,low,low,average,2010's
all public,94,Comedy,7.8,84.0,318789,45512466.0,high,low,low,low,low,2010's
all public,102,Other,7.8,76.0,305611,177002924.0,average,low,average,average,low,2010's
all public,130,Drama,7.8,81.0,362942,70259870.0,low,high,average,low,average,2010's
over 18,158,Thriller/Crime/Mystery,7.8,71.0,423010,102515793.0,high,high,low,average,average,2010's
family,134,Action/Adventure,7.8,82.0,421244,107100855.0,average,high,low,low,average,2010's
over 18,147,Drama,7.8,72.0,179264,161197785.0,low,low,low,low,low,2010's
over 18,129,Thriller/Crime/Mystery,7.8,79.0,52758,547292.0,average,low,average,low,low,2000's
family,161,Action/Adventure,7.8,66.0,601408,258366855.0,high,low,low,average,low,2010's
family,144,Drama,7.8,82.0,68715,2222647.0,average,low,low,low,average,2000's
over 18,152,Thriller/Crime/Mystery,7.8,76.0,208994,10095170.0,low,low,low,low,low,2000's
family,116,Drama,7.8,79.0,340584,93617009.0,average,average,average,low,average,2010's
all public,90,Action/Adventure,7.8,51.0,564791,145000989.0,low,average,low,low,low,2000's
family,94,Drama,7.8,55.0,190748,9030581.0,low,low,low,low,low,2000's
over 18,86,Drama,7.8,88.0,110656,9439923.0,average,low,low,low,low,2000's
family,169,Action/Adventure,7.8,58.0,757377,303003568.0,high,low,high,average,low,2010's
over 18,123,Drama,7.8,85.0,251370,50927067.0,average,average,low,average,low,2000's
all public,100,Thriller/Crime/Mystery,7.8,78.0,571571,35061555.0,low,average,low,low,average,2010's
all public,157,Drama,7.8,76.0,392449,130164645.0,high,high,average,average,average,2000's
family,162,Action/Adventure,7.8,83.0,1118998,760507625.0,high,low,average,average,low,2000's
over 18,141,Drama,7.8,63.0,216421,3600.0,low,low,low,low,low,2000's
all public,139,Action/Adventure,7.8,68.0,291018,50866635.0,average,low,low,low,low,2000's
family,101,Comedy,7.8,80.0,439856,59891098.0,low,low,average,average,low,2000's
family,121,Action/Adventure,7.8,81.0,463466,23637265.0,average,average,average,low,average,2000's
family,166,Drama,7.8,70.0,589160,127509326.0,high,high,average,low,low,2000's
all public,192,Drama,7.8,67.0,49050,2921738.0,low,average,low,low,low,2000's
over 18,94,Comedy,7.8,51.0,45717,1305.0,low,average,low,low,average,2000's
family,129,Drama,7.8,82.0,258924,38405088.0,average,average,low,average,average,2000's
all public,127,Drama,7.8,68.0,51980,5128124.0,low,average,low,low,low,2000's
family,90,Other,7.8,73.0,31658,128985.0,average,low,average,low,low,2000's
family,119,Action/Adventure,7.8,74.0,283310,25514517.0,average,low,low,average,low,2000's
family,136,Drama,7.8,72.0,234207,119519402.0,high,average,low,average,average,2000's
all public,123,Drama,7.8,53.0,520284,81001787.0,low,low,average,high,low,2000's
all public,126,Action/Adventure,7.8,75.0,96703,16756372.0,average,low,low,low,low,2000's
over 18,109,Thriller/Crime/Mystery,7.8,82.0,42673,181655.0,low,low,low,low,low,2000's
family,80,Other,7.8,91.0,50622,7002255.0,low,low,low,low,low,2000's
family,131,Action/Adventure,7.8,61.0,129022,54234062.0,low,average,low,low,low,2000's
over 18,99,Other,7.8,83.0,60684,2892011.0,high,high,low,low,low,2000's
all public,113,Drama,7.8,48.0,198089,115654751.0,low,high,low,low,low,2000's
family,120,Action/Adventure,7.8,94.0,253228,128078872.0,high,low,low,low,low,2000's
over 18,101,Drama,7.8,87.0,89058,8264530.0,average,low,low,low,low,1990's
family,143,Action/Adventure,7.8,73.0,524235,233632142.0,high,high,average,low,low,2000's
over 18,108,Action/Adventure,7.8,44.0,227143,25812.0,low,low,low,low,low,1990's
family,157,Drama,7.8,84.0,159886,28965197.0,average,high,average,average,low,1990's
family,108,Drama,7.8,71.0,82855,32481825.0,low,high,low,low,low,1990's
all public,90,Other,7.8,84.0,613941,267665011.0,low,low,low,average,low,2000's
family,194,Drama,7.8,75.0,1046089,659325379.0,high,high,high,low,low,1990's
family,106,Drama,7.8,64.0,280845,12339633.0,average,high,average,low,low,1990's
family,129,Action/Adventure,7.8,61.0,345096,48323648.0,high,average,low,low,low,1990's
over 18,159,Drama,7.8,76.0,62428,4040691.0,average,low,low,low,low,1990's
all public,127,Drama,7.8,70.0,164937,5887457.0,average,high,low,low,low,1990's
all public,118,Drama,7.8,73.0,215034,9170214.0,low,high,low,low,low,1990's
over 18,130,Action/Adventure,7.8,50.0,126871,56505065.0,low,low,average,average,low,1990's
all public,101,Comedy,7.8,55.0,78963,32416586.0,low,low,low,low,low,1990's
all public,134,Drama,7.8,84.0,66065,22954968.0,low,average,low,low,low,1990's
all public,130,Action/Adventure,7.8,87.0,267684,183875760.0,low,high,average,low,average,1990's
over 18,121,Thriller/Crime/Mystery,7.8,80.0,128171,17266971.0,low,high,low,low,low,1990's
over 18,129,Comedy,7.8,68.0,55362,2015810.0,average,low,low,low,low,1990's
over 18,98,Drama,7.8,86.0,42376,1999955.0,high,average,low,low,low,1990's
all public,112,Thriller/Crime/Mystery,7.8,76.0,126082,57504069.0,low,low,low,low,low,1990's
over 18,107,Drama,7.8,75.0,184740,61276872.0,high,low,low,low,low,1990's
all public,121,Drama,7.8,74.0,125276,52096475.0,low,high,low,low,low,1990's
over 18,122,Drama,7.8,78.0,122779,26830000.0,average,average,average,low,low,1980's
all public,108,Action/Adventure,7.8,57.0,481918,118500000.0,high,average,average,average,low,1980's
all public,128,Thriller/Crime/Mystery,7.8,65.0,88214,34603943.0,average,high,low,average,low,1980's
all public,107,Action/Adventure,7.8,45.0,371387,59735548.0,average,average,low,low,low,1980's
all public,84,Action/Adventure,7.8,72.0,148359,5923044.0,low,low,low,low,low,1980's
all public,103,Comedy,7.8,61.0,321382,70136369.0,average,average,low,low,low,1980's
over 18,107,Comedy,7.8,75.0,47834,1436000.0,average,low,low,low,low,1980's
all public,114,Action/Adventure,7.8,62.0,244430,61503218.0,average,low,average,low,low,1980's
all public,154,Drama,7.8,78.0,78321,98467863.0,high,low,low,low,low,1980's
family,97,Comedy,7.8,66.0,357026,45875171.0,average,low,low,low,low,1980's
family,141,Drama,7.8,76.0,51585,34700291.0,low,low,low,low,low,1980's
family,105,Action/Adventure,7.8,71.0,355413,238632124.0,low,average,average,average,low,1980's
family,193,Action/Adventure,7.8,91.0,56235,21500000.0,low,low,low,average,low,1980's
all public,109,Comedy,7.8,73.0,88511,2500000.0,high,high,low,low,low,1980's
all public,115,Other,7.8,91.0,372490,435110554.0,high,low,low,low,low,1980's
all public,105,Drama,7.8,77.0,133351,106260000.0,low,high,high,low,low,1970's
all public,135,Other,7.8,69.0,65659,31800000.0,high,high,low,low,average,1970's
all public,113,Drama,7.8,85.0,98611,4420000.0,high,high,average,low,average,1970's
all public,72,Other,7.8,73.0,25229,193817.0,low,low,low,low,low,1970's
all public,143,Thriller/Crime/Mystery,7.8,80.0,37445,16056255.0,high,low,low,low,low,1970's
all public,124,Drama,7.8,80.0,48334,42765000.0,average,low,low,low,low,1970's
all public,100,Other,7.8,67.0,178731,4000000.0,low,average,low,low,low,1970's
all public,113,Drama,7.8,79.0,101124,44785053.0,low,high,low,low,low,1960's
all public,170,Drama,7.8,95.0,86525,72000000.0,low,low,low,low,low,1960's
all public,139,Comedy,7.8,88.0,158029,102272727.0,low,average,low,low,low,1960's
all public,178,Action/Adventure,7.8,75.0,52141,39100000.0,low,low,low,low,low,1960's
all public,100,Thriller/Crime/Mystery,7.8,88.0,27007,2616000.0,low,low,low,low,low,1960's
over 18,119,Action/Adventure,7.7,66.0,478586,324591735.0,low,average,average,low,low,2010's
over 18,107,Thriller/Crime/Mystery,7.7,73.0,205444,33800859.0,low,low,average,low,low,2010's
over 18,104,Thriller/Crime/Mystery,7.7,85.0,492851,176040665.0,low,low,low,low,average,2010's
family,147,Action/Adventure,7.7,86.0,291257,220159104.0,low,high,low,low,low,2010's
family,116,Comedy,7.7,70.0,47444,3358518.0,low,low,low,low,low,2010's
over 18,86,Comedy,7.7,76.0,157498,3333000.0,low,low,low,low,low,2010's
all public,103,Other,7.7,72.0,32798,765127.0,low,low,low,low,low,2010's
all public,123,Drama,7.7,72.0,404182,35893537.0,low,low,low,low,low,2010's
all public,129,Action/Adventure,7.7,60.0,590440,128261724.0,high,average,low,high,high,2010's
family,126,Drama,7.7,69.0,344312,124872350.0,low,low,low,low,average,2010's
family,105,Comedy,7.7,74.0,123210,6743776.0,low,low,low,low,low,2010's
all public,119,Comedy,7.7,87.0,580291,42340598.0,high,low,low,average,low,2010's
all public,180,Drama,7.7,89.0,138741,2199675.0,low,low,low,low,low,2010's
all public,130,Drama,7.7,40.0,32628,1122527.0,low,low,low,low,low,2010's
family,136,Action/Adventure,7.7,70.0,736182,259766572.0,high,high,high,high,average,2010's
family,115,Action/Adventure,7.7,87.0,112298,17654912.0,low,low,low,low,low,2010's
all public,101,Other,7.7,72.0,380195,189422889.0,low,low,low,low,low,2010's
family,108,Other,7.7,70.0,56720,1339152.0,low,low,low,high,low,2010's
family,96,Comedy,7.7,81.0,388089,56816662.0,high,low,average,low,low,2010's
all public,100,Other,7.7,83.0,323982,257760692.0,low,low,low,low,low,2010's
family,91,Drama,7.7,96.0,769145,274092705.0,high,low,average,average,low,2010's
family,132,Action/Adventure,7.7,72.0,463188,228778661.0,average,average,average,low,low,2010's
family,120,Drama,7.7,95.0,624982,96962694.0,high,average,low,low,average,2010's
family,131,Action/Adventure,7.7,65.0,645512,146408305.0,high,average,low,low,average,2010's
family,100,Comedy,7.7,73.0,717559,277322503.0,average,low,average,low,low,2000's
family,143,Action/Adventure,7.7,81.0,630614,304360277.0,high,high,low,low,low,2010's
all public,122,Comedy,7.7,81.0,661871,132092958.0,average,low,low,average,low,2010's
all public,120,Drama,7.7,86.0,572581,136025503.0,average,average,low,high,average,2010's
family,95,Comedy,7.7,76.0,472242,32391374.0,average,low,average,low,low,2000's
all public,146,Action/Adventure,7.7,65.0,479120,295983305.0,average,high,high,high,average,2010's
all public,101,Other,7.7,86.0,125317,15090400.0,high,low,high,low,low,2000's
over 18,122,Drama,7.7,80.0,103330,18593156.0,high,low,low,average,low,2000's
all public,90,Other,7.7,81.0,71379,881302.0,average,low,average,low,low,2000's
over 18,141,Drama,7.7,63.0,239203,35739802.0,high,low,low,low,low,2000's
family,90,Comedy,7.7,45.0,81446,1752214.0,high,low,low,low,average,2010's
family,108,Drama,7.7,78.0,474141,25442958.0,low,low,low,average,low,2010's
over 18,120,Drama,7.7,78.0,32001,412544.0,average,average,low,low,low,2000's
over 18,123,Drama,7.7,74.0,175355,17605861.0,low,average,low,low,average,2000's
family,157,Thriller/Crime/Mystery,7.7,78.0,466080,33080084.0,high,high,average,average,average,2000's
over 18,110,Action/Adventure,7.7,53.0,299524,22494487.0,low,average,low,average,low,2000's
family,116,Drama,7.7,70.0,28003,1054361.0,low,low,low,low,low,2000's
over 18,122,Drama,7.7,78.0,61609,871577.0,low,low,average,low,average,2000's
all public,100,Other,7.7,71.0,405922,200821936.0,low,low,low,low,low,2010's
over 18,145,Drama,7.7,71.0,72643,4398392.0,low,low,low,low,low,2000's
all public,134,Drama,7.7,87.0,323103,83043761.0,high,high,average,average,low,2000's
all public,122,Action/Adventure,7.7,76.0,288797,53606916.0,high,high,average,low,low,2000's
family,112,Thriller/Crime/Mystery,7.7,66.0,419483,54580300.0,low,average,average,low,low,2000's
family,99,Action/Adventure,7.7,78.0,127250,17108591.0,low,low,low,low,low,2000's
all public,108,Action/Adventure,7.7,73.0,434841,176241941.0,average,high,low,average,low,2000's
over 18,101,Drama,7.7,61.0,358432,1082715.0,low,high,low,low,low,2000's
all public,152,Drama,7.7,73.0,138356,75331600.0,average,average,low,low,low,2000's
family,102,Comedy,7.7,89.0,415074,44585453.0,low,average,average,low,low,2000's
family,157,Action/Adventure,7.7,81.0,548619,290013036.0,average,high,high,high,low,2000's
family,146,Action/Adventure,7.7,47.0,329592,77911774.0,average,high,average,average,average,2000's
all public,100,Other,7.7,80.0,197761,75286229.0,average,low,low,low,low,2000's
family,154,Action/Adventure,7.7,55.0,400049,111110575.0,average,high,low,low,low,2000's
over 18,114,Drama,7.7,83.0,25938,4890878.0,low,low,low,low,low,2000's
over 18,121,Comedy,7.7,68.0,137981,4064200.0,low,average,low,low,low,2000's
family,105,Drama,7.7,76.0,40403,15539266.0,average,low,average,low,low,2000's
family,132,Drama,7.7,28.0,142863,40311852.0,low,average,average,average,low,2000's
over 18,115,Comedy,7.7,83.0,178565,22245861.0,average,average,high,average,low,2000's
all public,144,Drama,7.7,74.0,364254,108638745.0,high,average,low,average,low,2000's
all public,117,Thriller/Crime/Mystery,7.7,72.0,246840,104454762.0,high,high,low,low,low,2000's
over 18,120,Drama,7.7,60.0,90842,141072.0,average,low,low,low,low,2000's
over 18,110,Drama,7.7,74.0,126770,21995263.0,low,low,low,low,low,2000's
over 18,95,Comedy,7.7,85.0,31957,3029081.0,low,low,low,low,low,2000's
family,116,Thriller/Crime/Mystery,7.7,74.0,516372,183417150.0,low,average,high,low,low,2000's
all public,103,Other,7.7,62.0,29210,151086.0,low,low,low,low,low,2000's
all public,107,Action/Adventure,7.7,69.0,286742,45512588.0,high,high,average,low,low,2000's
all public,81,Other,7.7,73.0,192112,52037603.0,low,low,low,low,low,1990's
over 18,89,Comedy,7.7,68.0,241575,10824921.0,low,low,low,low,low,1990's
all public,122,Thriller/Crime/Mystery,7.7,69.0,390247,76631907.0,low,high,average,low,low,2000's
family,93,Comedy,7.7,86.0,169229,17105219.0,high,low,low,low,low,1990's
over 18,113,Comedy,7.7,90.0,312542,22858926.0,average,low,low,average,low,1990's
all public,139,Comedy,7.7,67.0,275755,148478011.0,low,high,average,low,low,1990's
family,126,Action/Adventure,7.7,52.0,434125,63540020.0,average,high,low,low,low,1990's
family,80,Comedy,7.7,73.0,37424,4065116.0,low,low,low,low,low,1990's
all public,127,Drama,7.7,76.0,279318,41909762.0,average,high,low,average,average,1990's
all public,105,Drama,7.7,87.0,51350,35811509.0,low,average,low,low,low,1990's
all public,129,Thriller/Crime/Mystery,7.7,47.0,189716,56116183.0,low,low,low,average,low,1990's
all public,97,Drama,7.7,83.0,32236,10019307.0,high,low,low,low,low,1990's
all public,108,Drama,7.7,81.0,33600,21848932.0,low,low,low,low,low,1990's
over 18,92,Comedy,7.7,70.0,211450,3151130.0,low,low,low,low,low,1990's
over 18,188,Comedy,7.7,79.0,42275,6110979.0,average,low,average,low,low,1990's
family,125,Drama,7.7,66.0,224169,77324422.0,average,high,average,low,low,1990's
all public,85,Comedy,7.7,64.0,50298,27281507.0,low,low,low,low,low,1990's
all public,202,Drama,7.7,73.0,85819,48169908.0,high,high,low,low,low,1990's
family,112,Action/Adventure,7.7,76.0,150409,75505856.0,average,high,average,low,low,1990's
over 18,100,Thriller/Crime/Mystery,7.7,82.0,95826,10725228.0,low,high,low,low,average,1990's
all public,138,Drama,7.7,62.0,235388,141340178.0,high,high,low,low,average,1990's
family,130,Drama,7.7,64.0,66941,82418501.0,low,low,low,low,low,1990's
all public,116,Comedy,7.7,69.0,113240,6153939.0,high,high,low,high,low,1990's
over 18,115,Thriller/Crime/Mystery,7.7,66.0,125822,5080409.0,high,high,average,low,low,1990's
all public,104,Other,7.7,83.0,182009,156452370.0,high,low,average,low,low,1980's
over 18,107,Comedy,7.7,84.0,40396,1544889.0,low,low,low,low,low,1980's
all public,163,Drama,7.7,76.0,94326,43984230.0,average,low,low,low,low,1980's
all public,153,Action/Adventure,7.7,62.0,115677,22238696.0,high,high,low,low,low,1980's
over 18,130,Thriller/Crime/Mystery,7.7,54.0,102031,7153487.0,average,average,low,low,low,1980's
all public,120,Drama,7.7,76.0,181285,8551228.0,high,low,low,average,average,1980's
all public,82,Comedy,7.7,75.0,47102,10631333.0,high,average,low,low,low,1980's
family,97,Comedy,7.7,90.0,59635,10600000.0,high,low,low,low,low,1980's
all public,129,Drama,7.7,77.0,36096,54000000.0,high,high,low,average,low,1980's
all public,113,Action/Adventure,7.7,67.0,112704,78912963.0,low,low,low,low,low,1980's
all public,93,Action/Adventure,7.7,61.0,226541,47212904.0,low,average,low,low,average,1980's
all public,124,Drama,7.7,86.0,47099,54800000.0,low,low,low,low,low,1980's
all public,88,Comedy,7.7,78.0,214882,83400000.0,low,low,low,low,low,1980's
all public,91,Thriller/Crime/Mystery,7.7,87.0,233106,47000000.0,average,low,low,low,low,1970's
over 18,126,Drama,7.7,71.0,39889,1924733.0,average,low,low,average,low,1970's
all public,93,Comedy,7.7,73.0,125993,119500000.0,average,low,low,low,low,1970's
all public,130,Drama,7.7,87.0,109941,29800000.0,high,high,low,low,low,1970's
all public,102,Action/Adventure,7.7,83.0,96561,25000000.0,low,low,low,low,low,1970's
all public,109,Action/Adventure,7.7,80.0,98740,7056013.0,low,low,low,low,low,1970's
all public,104,Action/Adventure,7.7,94.0,110075,15630710.0,average,high,low,low,low,1970's
all public,102,Action/Adventure,7.7,90.0,143292,35900000.0,average,high,low,low,low,1970's
all public,105,Comedy,7.7,86.0,31572,44527234.0,low,average,low,low,low,1960's
all public,120,Drama,7.7,72.0,31222,28350000.0,high,low,low,average,low,1960's
all public,110,Action/Adventure,7.7,87.0,174119,51081062.0,low,average,low,low,low,1960's
all public,119,Drama,7.7,90.0,171739,11403529.0,high,low,low,low,low,1960's
all public,128,Action/Adventure,7.7,74.0,87719,4905000.0,average,low,low,low,low,1960's
family,105,Action/Adventure,7.7,91.0,71481,536118.0,average,average,low,low,low,1950's
all public,125,Other,7.7,96.0,88662,76408097.0,low,low,low,low,low,1940's
family,102,Drama,7.6,71.0,140840,26020957.0,low,low,low,low,low,2010's
all public,161,Comedy,7.6,83.0,551309,142502728.0,high,high,high,average,low,2010's
over 18,127,Drama,7.6,86.0,29765,566356.0,average,low,low,low,low,2010's
all public,111,Drama,7.6,92.0,95181,5904366.0,low,low,low,average,low,2010's
family,101,Drama,7.6,60.0,99643,24801212.0,average,low,low,low,low,2010's
family,97,Action/Adventure,7.6,70.0,66346,13122642.0,low,low,low,low,low,2010's
family,97,Drama,7.6,83.0,35785,845464.0,low,low,low,low,low,2010's
family,136,Action/Adventure,7.6,67.0,569974,389813101.0,average,average,average,low,average,2010's
family,113,Action/Adventure,7.6,86.0,439406,107825862.0,average,low,low,low,low,2010's
family,134,Action/Adventure,7.6,72.0,58371,18340051.0,low,low,low,average,low,2010's
family,142,Drama,7.6,81.0,287659,72313754.0,high,high,low,low,low,2010's
family,118,Other,7.6,80.0,250057,608581744.0,high,average,low,low,low,2010's
all public,107,Other,7.6,81.0,272784,248757044.0,average,average,low,low,low,2010's
all public,121,Action/Adventure,7.6,82.0,371291,46889293.0,high,low,average,average,low,2010's
all public,133,Drama,7.6,82.0,247666,109767581.0,low,low,low,low,low,2010's
over 18,140,Thriller/Crime/Mystery,7.6,92.0,49397,1092800.0,average,low,low,low,low,2010's
over 18,102,Action/Adventure,7.6,88.0,204175,26862450.0,low,average,low,average,low,2010's
family,98,Drama,7.6,77.0,94212,37707719.0,low,low,low,low,low,2010's
family,130,Action/Adventure,7.6,79.0,411599,208545589.0,low,low,low,low,low,2010's
all public,101,Action/Adventure,7.6,73.0,190531,4105123.0,average,average,low,low,low,2010's
all public,109,Action/Adventure,7.6,68.0,228132,41003371.0,low,high,low,average,low,2010's
all public,94,Other,7.6,80.0,80939,19202743.0,low,low,low,low,low,2010's
family,136,Drama,7.6,88.0,334312,215288866.0,low,low,average,low,low,2010's
family,110,Drama,7.6,80.0,311822,171243005.0,average,average,average,low,low,2010's
over 18,118,Drama,7.6,65.0,38491,1008098.0,average,low,low,low,low,2010's
all public,95,Other,7.6,72.0,500851,251513985.0,low,low,average,low,low,2010's
over 18,100,Comedy,7.6,72.0,315426,35014192.0,low,low,low,average,average,2010's
family,117,Action/Adventure,7.6,66.0,524081,48071303.0,high,low,low,low,low,2010's
family,133,Drama,7.6,87.0,369529,75605492.0,low,high,average,low,average,2010's
over 18,120,Drama,7.6,70.0,138959,3185812.0,average,low,low,low,low,2010's
all public,88,Action/Adventure,7.6,73.0,520041,75590286.0,low,average,average,average,low,2000's
family,128,Action/Adventure,7.6,57.0,583158,209028679.0,average,average,low,high,low,2000's
family,129,Drama,7.6,53.0,293266,255959475.0,low,low,average,low,low,2000's
family,104,Drama,7.6,79.0,41544,9422422.0,average,low,low,low,low,2000's
family,123,Drama,7.6,36.0,286770,69951824.0,average,average,low,average,low,2000's
over 18,100,Action/Adventure,7.6,82.0,227760,17114882.0,low,average,average,low,low,2000's
all public,127,Action/Adventure,7.6,66.0,255036,38634938.0,high,low,low,low,low,2000's
over 18,129,Thriller/Crime/Mystery,7.6,76.0,339757,88513495.0,high,high,average,average,average,2000's
over 18,114,Thriller/Crime/Mystery,7.6,72.0,250590,20300218.0,average,average,high,low,low,2000's
family,140,Drama,7.6,66.0,82781,10301706.0,low,low,low,low,low,2000's
family,104,Action/Adventure,7.6,70.0,72863,24633730.0,low,average,low,low,low,2000's
all public,110,Drama,7.6,68.0,354728,39868642.0,low,average,low,low,low,2000's
family,153,Action/Adventure,7.6,78.0,474827,301959197.0,average,high,high,high,average,2000's
all public,117,Action/Adventure,7.6,52.0,732876,210614939.0,average,low,low,low,low,2000's
over 18,124,Drama,7.6,72.0,206294,23089926.0,high,low,low,low,low,2000's
all public,162,Action/Adventure,7.6,56.0,500799,107509799.0,average,low,low,low,low,2000's
over 18,122,Action/Adventure,7.6,62.0,294140,24149632.0,average,average,average,average,low,2000's
